Station ID,Station Name,Lat,Lon,Elev (ft.),Ave temp annual_F,Note
KWASEATT2119,Belltown - Lenora,47.613,-122.342,194,50.10794521,
KWASEATT2336,Avalon LQA Seattle,47.62,-122.356,120,53.56027397,
KWASEATT2379,J'Oz 4 - The Veduta,47.621,-122.327,246,52.95232877,
KWASEATT2850,mrweather Capitol Hill,47.622,-122.318,335,,no data
KWASEATT2696,Seattle CD,47.602,-122.312,253,53.06418733,
KWASEATT2453,18th Ave,47.62,-122.309,410,51.56384181,exclude 3.19 - 3.29 data due to invalid
KWASEATT2679,Arborteum WS,47.623,-122.298,253,52.36410959,
KWASEATT2288,Evergreen,47.617,-122.283,180,53.55851648,
KWASEATT2912,Johnny's Weather,47.617,-122.29,233,,no data
KWASEATT334,Madrona,47.617,-122.293,154,52.43720238,exclude missing data
KWASEATT2589,Badminton Court,47.615,-122.293,354,,drop because too many mssing data
KWASEATT2767,WS-2000,47.615,-122.298,257,,drop because missing Jan-March data
KWASEATT2880,CD,47.615,-122.3,253,,no data
KWASEATT2831,Central District P Patch,47.612,-122.3,285,,no data
KWASEATT2266,DH,47.613,-122.305,351,52.90722222,
KWASEATT2616,Squire Park Ridge 2.0,47.612,-122.308,397,52.48575342,
KWASEATT2886,C Breeze,47.609,-122.312,374,,no data
KWASEATT2696,Seattle CD,47.602,-122.312,253,53.06418733,
KWASEATT2000,Central District,47.603,-122.306,312,52.62054795,
KWASEATT1944,Central District,47.605,-122.305,265,52.45342466,
KWASEATT1660,Garfield Abbey,47.604,-122.303,317,52.93100559,
KWASEATT2613,Pharros,47.599,-122.307,253,52.6369863,
KWASEATT2724,Outpost,47.602,-122.297,295,52.50692521,
KWASEATT2959,Chateau Weather Station,47.602,-122.293,203,,no data
KWASEATT2708,A House,47.604,-122.288,203,52.98410959,
KWASEATT2251,Judkins Park,47.595,-122.3,236,54.26730769,
KWASEATT2968,JPG's weather station,47.595,-122.296,46,,no data
KWASEATT2841,Judkins Roofftop,47.593,-122.303,151,,drop because missing Jan-Aug data
KWASEATT242,Leschi,47.591,-122.294,226,,no data
KWASEATT2375,N.Beacon Hill Homestead,47.591,-122.313,160,52.70630137,
KWASEATT2775,The Rain Station,47.587,-122.316,171,52.67726027,
KWASEATT2256,Woofy Weather,47.586,-122.312,266,53.79205479,
KWASEATT2328,1701,47.588,-122.299,112,53.02111111,
KWASEATT1915,Mt. Baker,47.587,-122.294,259,53.90725552,
KWASEATT2377,Casa Marrone,47.582,-122.308,269,52.53561644,
KWASEATT2275,EloiseFernsby,47.581,-122.29,157,52.77041096,
KWASEATT2398,House of Angus,47.579,-122.304,215,52.78033708,
KWASEATT2036,Lake & Park School,47.575,-122.285,331,54.21561644,
KWASEATT59,Bay Terrace (Magnolia),47.669,-122.41,119,51.30821918,
KWASEATT2155,Lawton,47.664,-122.403,115,51.92493151,
KWASEATT2739,Viking Farmer,47.66,-122.394,56,57.00136986,
KWASEATT2451,North Magnolia,47.656,-122.397,161,,drop because too many mssing data
KWASEATT2741,Steller Weather,47.65,-122.404,194,51.97726027,
KWASEATT2548,ToweringKitty,47.646,-122.402,194,51.41972603,
KWASEATT2647,W Dravus Magnolia,47.648,-122.392,312,51.56356164,
KWASEATT2975,WU-Ashworth North,47.734,-122.34,472,,no data
KWASEATT2784,LCW North,47.733,-122.29,292,,drop because missing Jan-March data
KWASEATT2579,Ambient Weather Station,47.732,-122.353,476,51.89055556,
KWASEATT2623,Ixoreus,47.725,-122.364,486,50.8369863,
KWASEATT2924,SP,47.724,-122.367,262,,no data
KWASEATT2983,Broadview WX,47.722,-122.365,423,,no data
KWASEATT2064,Bitter Lake,47.722,-122.355,482,51.45616438,
KWASEATT2887,Broadview,47.718,-122.353,453,,no data
KWASEATT2828,Rooftop Atlas,47.728,-122.332,459,,no data
KWASEATT2985,PuddleTracker,47.723,-122.337,390,,no data
KWASEATT295,Haller Lake,47.719,-122.335,407,50.99780822,
KWASEATT279,Haller Lake,47.714,-122.334,394,51.98986301,
KWASEATT1740,Haller Lake,47.713,-122.332,377,51.82417582,
KWASEATT2885,Meow weather,47.731,-122.308,85,,no data
KWASEATT2001,Cedar Park,47.727,-122.286,344,52.06438356,
KWASEATT2902,jjnweather1,47.725,-122.29,292,,no data
KWASEATT2755,Pinehurst,47.72,-122.318,381,51.74849315,
KWASEATT1745,Victory Heights,47.719,-122.309,200,52.05205479,
